,3946.21 g,4145.83 g,4315.0 g,4511.98 g,4713.46 g,4813.52 g,4992.03 g,5193.54 g,5390.52 g,5589.85 g
324,677748,700244,719404,741458,764300,775933,796012,818672,841167,863483
325,677455,700220,719452,741768,764263,776184,795498,818791,841221,863424
326,677552,700207,719501,741745,764371,775878,795414,818901,841237,863464
327,677436,700100,719159,741982,764740,775742,795639,818933,841078,863485
328,677483,700180,719115,742175,764827,775796,795983,819000,841251,863943
329,677580,False,718740,741871,764806,775706,796434,818816,841142,864054
330,677420,699878,718614,741677,764678,775964,796640,818729,841090,864252
331,677738,700045,719260,741434,764254,775824,False,818722,841318,864377
332,677720,700070,False,741281,764206,775708,6291455,818599,841229,864039
333,677662,700145,720284,741504,764135,775939,796537,818963,841396,863741
334,677620,700204,719493,741475,764405,775850,796089,819094,841470,863468
335,677467,700161,718800,741739,False,775833,795952,818992,841408,863210
336,677446,700286,718235,741785,764381,775810,795497,819013,841291,863483
337,677455,700078,718529,741707,764319,775850,795307,818813,841227,863706
338,677346,699969,719073,741885,764505,775793,795785,818861,841303,863962
339,677821,700069,719542,741865,764441,775739,795928,818851,841128,864046
340,677668,700139,720013,False,764722,775933,796338,818686,840971,False
341,677527,700209,720002,4423679,764734,775981,796472,818962,841333,1727851
342,677779,700258,720064,741432,764470,775655,796435,False,841378,16683
343,677682,700134,719645,741431,764390,775711,796217,-7864321,841360,863881
344,677776,700366,719221,741711,764212,775776,795730,819001,841272,863499
345,677715,False,718771,741655,764363,775832,795592,819006,841107,863533
346,False,700148,718337,741860,764411,775817,795679,818899,841291,False
347,-5935665,700370,718793,741919,764484,775748,795919,819036,841265,864132
348,339541,700231,719786,741740,764867,776057,796309,819008,841148,863841
349,677618,700312,720250,741821,764889,776012,796237,818957,841102,863767
350,677291,700361,720405,741657,764840,775952,796204,818863,841076,863913
351,677386,700234,720074,741534,764456,False,796517,818726,841391,863848
352,677479,700186,719366,741490,764259,775790,796326,818958,841502,863456
353,677516,699869,718889,741392,764316,776168,796140,819172,841214,863463
354,677672,699982,718612,741707,764154,776330,795740,819108,False,863757
355,677600,700316,718862,741932,764526,775971,795663,819061,3365175,863761
356,677582,700093,719090,741725,764942,775934,795902,818825,421606,863985
357,677766,700246,719319,741940,764729,775666,795891,818755,841171,864022
358,677453,700423,719775,741838,764777,775456,796311,818903,841177,864071
359,677642,700374,719674,741717,764617,775556,796445,False,841189,864078
360,677590,700247,719606,741665,764246,775720,796414,819001,841249,863785
361,677470,699881,719659,741718,764081,775941,796422,819103,841580,863790
362,False,699905,719064,741936,763951,776166,796090,819030,841387,863608
363,-5933105,700231,False,741847,764225,776093,795958,818849,841288,863561
364,339428,700278,719700,741775,764513,776143,795925,819029,841440,863750
365,677763,700675,719161,741795,764456,775694,795780,818828,841227,863753
366,677566,700439,718961,741649,764740,False,796012,818715,841223,863890
367,677387,700223,718847,741634,False,775871,796028,818911,841168,863960
368,677396,700100,718852,741457,-4541969,775932,796266,818845,False,864060
369,677528,699765,719482,741372,383054,775839,796435,819237,841182,864238
370,677584,699940,719626,741483,764582,775951,796257,819201,841389,863758
371,677568,700021,719900,741678,764323,775652,796485,818844,841343,863613
372,677632,700147,720290,741902,764145,775720,796379,818846,841283,863535
373,677555,700481,719904,741949,764458,776009,795828,818751,841428,863411
374,677655,700472,719462,741734,764704,776062,795951,818750,841150,863722
375,677593,700623,718814,741549,764739,776251,795814,818835,841115,863809
376,677508,700405,718684,741479,764672,776103,796023,818769,841181,864021
377,677438,700223,False,741471,764622,775930,796352,819018,841134,864285
378,677296,700245,719637,741594,764647,775737,796331,819012,841467,864066
379,677427,699909,719983,741485,764414,775578,796467,818976,841377,864075
380,677323,699922,719930,741706,764216,False,796263,819134,841324,863606
381,677380,700082,719865,741929,764328,776018,796144,818846,841320,863433
382,677608,700246,719298,741760,764287,776126,795987,818795,840936,863512
383,677443,700567,718820,741954,764649,775758,795573,818661,841000,863462
384,677571,700449,718658,741945,764852,775799,795799,818701,841182,863902
385,677528,700485,718670,741661,764721,775979,795887,819081,841243,864185
386,677359,700409,719279,741361,764877,775965,796160,818964,841481,864152
387,677461,699968,719571,741323,764553,776021,796455,819011,841300,864241
388,677480,700113,719821,741575,764320,775670,796280,818952,841313,863771
389,677355,700156,719829,741663,764316,775546,796365,818802,841291,863553
390,677666,700227,719526,741857,764239,775747,796118,818973,841203,863491
391,677490,700324,719414,742047,764572,775923,795765,818798,841450,863211
392,677573,700297,False,741874,764681,776273,795822,818647,841267,863537
393,677670,700448,-419585,742022,764552,776077,795806,818954,841248,863835
394,False,700322,719064,741673,764733,776010,795772,818814,841271,864116
395,677697,700014,719196,741223,764570,775841,795793,818854,840982,864407
396,677679,700139,719235,741327,764461,False,795968,818938,841163,864281
397,677647,699844,719390,741357,764242,775830,796408,819037,841256,864021
398,677514,699890,719610,741774,764187,775903,796325,819127,841203,863453
399,677658,700110,719617,741960,764457,776090,796073,818829,841331,863116
400,677608,700255,719763,741809,764509,775905,795892,818783,841209,863140
401,677681,700635,719563,741820,764734,776063,795641,818935,841241,863186
402,677734,700353,719203,741671,764826,776222,795706,818887,841278,863698
403,677339,700124,False,741566,764712,776051,795700,819027,841368,864208
404,677552,700262,False,741366,764783,775851,795928,819035,841453,864233
405,677603,700048,719609,741306,764321,775520,False,819101,841293,864201
406,677466,700087,719298,741554,764111,775618,795975,819214,841274,863917
407,677646,699907,719180,741626,764154,775930,795674,818992,841316,863863
408,677471,699966,719038,741994,764213,776035,795884,819083,841321,863620
409,677565,700192,719332,742062,764593,776198,796036,818719,841592,863116
410,677589,700014,719544,741786,764739,776056,796275,818757,841491,863361
411,False,700384,719814,741667,764716,776008,796487,818914,841358,863777
412,677774,700409,719931,741287,764764,775704,796274,818817,841268,864051
413,677607,700222,719604,740876,764397,775583,796300,819093,841183,864330
414,677589,700274,719371,741300,764104,775864,795940,819116,841511,864096
415,677507,700094,719249,741784,764076,775937,795624,818936,841270,863895
416,677644,700084,719042,742017,764350,775934,795657,818972,840980,863795
417,677494,700300,719282,742017,764724,776216,795739,818711,False,863522
418,677527,700199,719494,742118,764635,776089,796124,818878,841170,863581
419,677688,700262,719527,742168,764772,776175,796475,818804,841226,863577
420,677504,700342,719567,741858,764855,776062,796487,818791,841139,863645
421,677644,700186,719502,False,764592,775598,796450,818987,841285,863958
422,677628,700261,719455,742314,764539,775627,796179,818827,841169,864005
423,677514,700091,719346,742182,764188,775582,795888,819058,841198,864320
424,677558,700087,719139,742030,764140,775872,795830,819124,841341,864165
425,677446,700123,719096,741693,764264,776311,795768,False,841316,863964
426,677507,700148,719153,741153,764291,776230,796068,818795,841416,863958
427,677623,700392,719314,741250,764709,False,796153,818709,841240,863709
428,677461,False,719595,741374,764793,775454,796355,818987,840994,863630
429,677390,699986,719664,741650,764617,775299,796628,818973,841341,863573
