,0.0 g,72.65 g,272.25 g,471.56 g,673.02 g,872.42 g,1148.61 g,1345.57 g,1544.88 g,1744.3 g,1943.91 g,2073.13 g,2272.74 g,2472.04 g,2671.46 g,2868.42 g,3149.09 g,3345.72 g,3545.14 g,3716.65 g,3913.6 g,4113.02 g,4312.33 g,4513.81 g,4792.61 g,4992.03 g,5193.52 g,5392.82 g,5589.76 g,5789.34 g,5889.38 g,172.7 g,118.07 g
638,112605,121016,143860,166436,189578,212244,244136,266175,289409,311593,334451,349188,372026,393976,418128,439910,472712,494799,517613,537553,561133,582073,604576,628433,-6914049,682718,704097,False,750856,773589,784413,132409,126253
639,112668,121002,143876,166447,189779,212255,244284,266210,289059,312123,334949,349263,372179,394148,418095,440003,472281,494527,517456,536961,561252,582023,604449,628508,660200,682245,704400,-524289,750936,773731,784169,132536,126207
640,112615,120873,143817,166664,190003,212453,243703,266245,288782,312060,334562,349208,372328,395251,417654,440364,472009,494380,517689,536703,560675,582383,604214,628545,660468,682160,705164,728033,750887,773578,784549,132639,126340
641,False,121017,143833,166857,189713,212504,243369,266632,288912,312260,334638,349439,372302,395850,417395,440448,471917,494169,517232,536245,559899,582538,604901,628124,659989,682247,705735,728631,750726,773643,785287,132258,126143
642,113006,121214,143748,166678,188514,212236,243208,266361,288858,311992,334752,349818,372303,395848,417101,440320,471670,494649,517369,536423,558639,582409,605232,627732,659601,682512,706723,728468,750980,773580,785387,132461,False
643,112684,120953,143901,166698,False,212448,243901,266152,289554,311624,334574,False,371944,395495,417239,440338,471930,494790,517560,536567,558200,582663,605242,627577,659372,682955,706717,728253,750612,773693,785664,132392,126037
644,112771,121093,143697,166475,188102,212263,244488,266135,289478,311686,334569,349264,371909,394786,417612,439993,472141,494772,517289,537037,558161,582159,605475,627470,658964,682754,706444,728023,750600,773719,785358,132465,126342
645,112571,False,143621,166312,188902,212335,244073,266126,289170,311436,334402,348916,372025,394494,417754,440049,472260,False,517521,537739,558492,581962,604993,627826,659426,682775,705612,727873,750802,773613,784947,132619,126160
646,112656,120948,143891,166733,190094,212378,243626,266654,289049,311925,334754,349013,371822,394671,418306,False,472717,-1,517459,537640,559396,581890,604942,628116,659899,682668,704387,728288,750798,773699,784782,132279,126233
647,113071,120948,143714,166454,False,212365,243036,266490,288564,312070,334641,349054,372363,394733,418155,-524289,472577,494586,517311,537322,560026,582032,604987,628458,660158,682631,704177,728154,751222,773455,784336,132479,126125
648,112721,121000,143946,166487,381545,212563,243341,266413,288705,311967,334421,349646,372314,395242,417856,False,472607,494513,517383,536800,560687,582474,604901,False,660426,682679,704108,728397,750951,773631,784846,132374,125925
649,112752,120899,143863,166460,17289,212308,244145,266603,False,311954,334519,349867,372081,395107,417799,-2707489,472353,494486,517191,536415,560580,582462,605265,627970,659966,682391,704981,728476,750965,773775,785023,132377,126362
650,112943,121132,143606,166423,189000,212137,244173,266396,288793,311585,334234,349575,371780,395074,417320,439975,472021,494483,517420,536562,559995,582598,604878,627569,659953,682679,706111,728299,750612,773396,785100,132625,126291
651,112595,121105,143711,166598,189210,212020,244170,266465,289285,311866,334461,349848,371610,395067,417276,439793,472031,494633,517405,536556,False,582335,604652,627276,659446,682642,706791,728551,750239,773442,785261,132360,126238
652,112777,121112,143770,166280,189491,211835,243598,266329,289304,312055,334571,349466,372091,394448,417213,440375,471666,494399,517320,537084,558045,582100,604726,627661,659011,682420,707071,728237,750669,773414,785072,132671,126224
653,112621,121235,143811,166327,190184,False,243341,266593,289133,312034,334730,349152,372118,394521,417369,440544,471846,494772,517490,537375,558389,582236,604917,627797,659240,682586,706399,728145,750551,773579,785313,132563,126087
654,112637,121009,143756,166674,189698,212363,243670,266681,289346,312097,334888,348820,372160,False,417994,440220,472273,495029,517139,537291,559324,581830,605492,628376,False,682360,705647,728014,751021,773873,784956,132464,126355
655,112861,121196,143653,166421,False,212251,243856,266303,288929,311563,334382,348687,372268,-1,418081,440256,472653,494825,517454,537250,560698,582038,605366,628545,659803,682555,704968,727749,751312,773720,784854,132605,False
656,112718,121050,143830,166651,2097151,211855,244293,266430,289176,311768,334443,349003,371864,394797,418206,439979,472874,494923,517419,536761,560864,582109,605493,628267,659487,682598,704187,728036,750869,773798,784804,132551,125981
657,112899,120967,143496,166532,189404,212197,243827,266103,289219,311898,334524,349429,372058,395164,417956,439836,472446,494506,517556,536499,560476,582084,605242,628067,659366,682502,704265,728227,751055,773740,784543,132589,126153
658,112812,121226,143604,166566,189387,212462,243198,266188,289019,False,334851,350010,371973,395020,417728,439802,False,494539,517616,536221,559663,582583,604684,627580,659582,682954,704701,728540,750808,773719,784826,132517,126100
659,112763,121089,143655,166820,190111,212508,243373,266489,288975,312037,335013,350149,372063,395071,417564,440024,472363,494314,517265,536328,558577,582592,604550,627589,659540,682782,705755,728877,750792,773699,784921,132511,126296
660,112926,121182,143644,166503,190484,212376,243944,266344,288714,311938,334749,349812,372131,394945,417223,440500,472218,494355,517282,536931,558367,582883,604162,627424,660137,683011,706344,728743,750603,773406,785251,132663,126097
