,0.0 g,72.65 g,269.84 g,470.02 g,669.36 g,870.88 g,1070.5 g,1347.91 g,1549.41 g,1748.85 g,1945.82 g,2145.44 g,2272.46 g,2469.43 g,2668.86 g,2870.37 g,3069.99 g,3350.48 g,3549.81 g,3749.24 g,3946.21 g,4145.83 g,4315.0 g,4511.98 g,4713.46 g,4813.52 g,4992.03 g,5193.54 g,5390.52 g,5589.85 g
64,230210,238595,260700,283064,306031,328992,351251,383085,405864,428395,-1,473698,FALSE,510253,532630,556084,578227,609957,632685,655335,677283,700457,719610,741714,764741,775888,796067,818782,841204,863733
65,230023,238377,260736,283058,305929,328606,351403,383064,405961,428220,450856,473633,487971,510420,532788,556053,578308,609759,632552,655200,677371,700499,720287,742025,764617,775713,796034,818802,841066,863773
66,230165,238302,260672,283262,305875,328616,351426,382809,405841,428174,450951,473352,488040,510392,532864,555753,578300,609855,632512,655134,677694,700112,720237,742059,764397,775944,795872,819063,841303,863568
67,230132,238253,260525,FALSE,305902,328663,351575,383046,405820,428662,450993,473139,487912,510185,FALSE,555590,578462,610099,632555,655390,677806,699794,719967,742306,764427,775853,795604,FALSE,841354,863582
68,230141,238125,260519,2097151,305767,328553,351338,382957,405957,428706,450731,473196,487764,510190,4302847,555521,578342,609942,632378,655376,678115,699666,FALSE,742025,764169,775670,795864,819188,841291,863758
69,230213,238220,260683,283110,305776,FALSE,351256,382976,405865,428622,450489,473533,487928,510063,532881,555506,578425,610379,632450,655521,678043,699749,720293,741625,764384,775907,795925,818895,841456,863748
70,230127,238306,260733,283395,305779,-7061505,351365,383104,406071,428387,450539,473450,487798,510185,532916,555416,578360,610413,632693,655550,677673,700068,720119,741704,764561,775902,796202,818735,841323,863811
71,230168,238413,260899,283317,305884,328886,351348,382777,405840,428277,450577,473606,487785,510283,532906,555442,578220,610031,632597,655339,677544,700114,719629,741572,764624,776011,796147,818583,841264,863903
72,230073,238254,FALSE,283435,305852,328850,351299,382877,405633,428400,450922,473707,487920,509993,532848,555507,578139,610057,632721,655368,677186,700317,718868,741614,764663,775947,795998,818853,841122,863883
73,230121,237956,8341311,283303,305685,328726,351201,383001,405713,428195,450825,473289,487705,510132,532490,555681,577895,609787,632609,654936,677136,700576,718625,741527,764525,775827,796195,818749,840993,863803
74,230292,238254,260585,283212,306033,328530,351328,383013,405637,428330,450693,473369,487848,510094,532639,555812,FALSE,609848,632551,654815,677394,700284,718619,741666,764601,775716,796256,818768,841075,863708
75,230237,238466,260632,283351,306019,328793,351590,383032,405855,428577,450604,473336,487884,510160,532675,555718,-7432193,609980,632603,655056,677696,700184,719021,742055,764561,775595,796072,818987,841122,863869
76,230151,238294,260530,283197,305856,328709,351462,382722,405876,428437,450501,473452,487772,510289,532549,555785,578161,609891,632494,654944,677946,700000,719576,741994,764276,775816,796007,818918,841330,863990
77,230203,238345,260635,283425,305884,328649,351531,382891,405701,428489,450684,473413,487907,510191,532876,FALSE,578023,610154,632680,655150,677911,699972,719744,741990,764328,775803,795725,819132,841443,863869
78,229984,238348,260713,283384,305818,328701,351555,382993,405819,428325,450701,473252,487736,510144,532934,555637,578340,610204,632515,655501,677859,700129,720074,741746,764362,775838,796011,819047,841133,864033
79,230130,238548,260723,283339,305985,328654,351316,382866,405696,428444,FALSE,473422,487957,509836,532927,555567,578422,610274,632400,655638,677621,700174,720142,741398,764554,776118,796193,818898,841289,863884
80,230070,238321,260660,283380,305695,328729,351432,383106,405822,428494,450856,473338,488056,509902,532777,555640,578414,610202,632654,655496,677248,700424,719761,741419,764649,776050,796027,819103,841140,863890
81,230008,238113,260476,283027,305771,328771,351304,383133,405768,428348,450612,473255,487894,510210,532634,555851,578483,609658,632634,655096,677114,700474,719285,741193,764788,776131,796076,818755,841160,863901
82,230177,238373,260585,283108,305873,328713,351428,383064,405584,428521,450890,473373,487935,510205,532872,555882,578172,609626,632720,655078,676964,700339,718675,741514,764949,776069,796170,818741,841253,863622
83,229984,238266,260698,283263,305733,328696,351627,382963,405793,428452,450834,473305,487738,510445,532660,555909,578004,609661,632692,655048,677428,FALSE,718799,742025,764467,775784,796283,818740,840971,863682
84,230100,238262,260558,283221,305850,328621,351487,382800,405684,428398,451017,473408,487836,510446,532775,555731,578012,609898,FALSE,655214,FALSE,532479,719183,741994,764178,775863,796075,818747,841168,863701
85,230040,238359,260747,283399,305859,328736,351448,382914,405774,428561,450870,473377,487955,510103,532876,555533,577970,610030,632440,655342,678111,700142,719320,742075,764312,775778,795815,819140,841360,863883
86,230063,238133,260736,283485,305860,328780,351285,382942,405983,428468,450730,473224,487746,510143,532740,555611,578142,610063,632472,655328,677916,700139,719910,741835,FALSE,775944,795892,819178,FALSE,864029
87,230308,238253,260709,283357,305977,328587,351465,383114,405844,428621,450651,473264,487995,509883,532865,555426,578196,610269,632623,655517,677462,700099,720100,741529,764697,776198,795787,819150,-524289,863767
88,230096,238255,260706,283259,305976,328872,351537,383051,405802,428659,450567,473391,487966,509885,532857,555685,578467,610204,632572,655319,677277,699949,719911,741600,764634,775823,795931,818956,841480,863837
89,230179,238327,260520,283190,305980,328957,351314,382872,405750,428400,450939,473547,487963,510200,532652,555853,578213,610000,632643,655121,677003,700346,719449,741496,764466,775997,796168,818761,841177,863853
90,230022,238362,260609,283422,306031,328948,351643,383086,405612,428541,451035,473612,488013,510159,532647,555754,578080,609843,632461,655208,677114,700395,719010,741767,764588,776037,796248,818814,841053,863783
